"epoch","wobbly-elevator-22 - _step","wobbly-elevator-22 - _step__MIN","wobbly-elevator-22 - _step__MAX","wobbly-elevator-22 - val_loss","wobbly-elevator-22 - val_loss__MIN","wobbly-elevator-22 - val_loss__MAX","driven-glitter-23 - _step","driven-glitter-23 - _step__MIN","driven-glitter-23 - _step__MAX","driven-glitter-23 - val_loss","driven-glitter-23 - val_loss__MIN","driven-glitter-23 - val_loss__MAX","breezy-sun-24 - _step","breezy-sun-24 - _step__MIN","breezy-sun-24 - _step__MAX","breezy-sun-24 - val_loss","breezy-sun-24 - val_loss__MIN","breezy-sun-24 - val_loss__MAX","atomic-voice-25 - _step","atomic-voice-25 - _step__MIN","atomic-voice-25 - _step__MAX","atomic-voice-25 - val_loss","atomic-voice-25 - val_loss__MIN","atomic-voice-25 - val_loss__MAX","classic-bee-26 - _step","classic-bee-26 - _step__MIN","classic-bee-26 - _step__MAX","classic-bee-26 - val_loss","classic-bee-26 - val_loss__MIN","classic-bee-26 - val_loss__MAX","usual-deluge-27 - _step","usual-deluge-27 - _step__MIN","usual-deluge-27 - _step__MAX","usual-deluge-27 - val_loss","usual-deluge-27 - val_loss__MIN","usual-deluge-27 - val_loss__MAX","frosty-blaze-28 - _step","frosty-blaze-28 - _step__MIN","frosty-blaze-28 - _step__MAX","frosty-blaze-28 - val_loss","frosty-blaze-28 - val_loss__MIN","frosty-blaze-28 - val_loss__MAX","resilient-cosmos-29 - _step","resilient-cosmos-29 - _step__MIN","resilient-cosmos-29 - _step__MAX","resilient-cosmos-29 - val_loss","resilient-cosmos-29 - val_loss__MIN","resilient-cosmos-29 - val_loss__MAX"
"31","34","34","34","2.805049154318397","2.805049154318397","2.805049154318397","","","","","","","64","64","64","3.111795837810686","3.111795837810686","3.111795837810686","","","","","","","60","60","60","3.8787124387582708","3.8787124387582708","3.8787124387582708","","","","","","","60","60","60","3.6354293721156625","3.6354293721156625","3.6354293721156625","","","","","",""
"32","35","35","35","2.8142607495616807","2.8142607495616807","2.8142607495616807","","","","","","","66","66","66","3.1429150950294082","3.1429150950294082","3.1429150950294082","","","","","","","62","62","62","3.9769829538008303","3.9769829538008303","3.9769829538008303","","","","","","","62","62","62","3.6723565616179807","3.6723565616179807","3.6723565616179807","","","","","",""
"33","36","36","36","2.8180038896520885","2.8180038896520885","2.8180038896520885","","","","","","","68","68","68","3.1533436018198038","3.1533436018198038","3.1533436018198038","","","","","","","64","64","64","3.9552247054555294","3.9552247054555294","3.9552247054555294","","","","","","","64","64","64","3.734321276572031","3.734321276572031","3.734321276572031","","","","","",""
"34","37","37","37","2.83100003809593","2.83100003809593","2.83100003809593","","","","","","","70","70","70","3.1754177653475195","3.1754177653475195","3.1754177653475195","","","","","","","66","66","66","4.011130793607878","4.011130793607878","4.011130793607878","","","","","","","66","66","66","3.757307686893924","3.757307686893924","3.757307686893924","","","","","",""
"35","38","38","38","2.833888681194811","2.833888681194811","2.833888681194811","","","","","","","72","72","72","3.1916128759823272","3.1916128759823272","3.1916128759823272","","","","","","","68","68","68","4.008369046466081","4.008369046466081","4.008369046466081","","","","","","","68","68","68","3.775350312612414","3.775350312612414","3.775350312612414","","","","","",""
"36","39","39","39","2.8437020630219094","2.8437020630219094","2.8437020630219094","","","","","","","74","74","74","3.2129697929541456","3.2129697929541456","3.2129697929541456","","","","","","","","","","","","","","","","","","","70","70","70","3.8411071789353817","3.8411071789353817","3.8411071789353817","","","","","",""
"37","40","40","40","2.8533895361193613","2.8533895361193613","2.8533895361193613","","","","","","","76","76","76","3.222699870560311","3.222699870560311","3.222699870560311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","","","","","","","","","","","","","78","78","78","3.24527931678769","3.24527931678769","3.24527931678769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","","","","","","","","","","","","","80","80","80","3.257856963666956","3.257856963666956","3.257856963666956","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","","","","","","","","","","","","","83","83","83","3.28023354366322","3.28023354366322","3.28023354366322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
